entity,label,type
http://www.semanticweb.org/videogame-domain/ontology#NintendoSwitch,Nintendo Switch,http://www.semanticweb.org/videogame-domain/ontology#PortableHybridConsole
http://www.semanticweb.org/videogame-domain/ontology#NintendoSwitch,Nintendo Switch,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#HybridConsole
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#NorthAmericaRegion,North America,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#NorthAmerica
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#NorthAmericaRegion,North America,http://www.semanticweb.org/videogame-domain/ontology#NorthAmericanMarket
http://www.semanticweb.org/videogame-domain/ontology#NorthAmericaTerritory,North America,http://www.semanticweb.org/videogame-domain/ontology#NorthAmericanMarket
http://www.semanticweb.org/videogame-domain/ontology#NorthAmericaTerritory,North America,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#NorthAmerica
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#PS5,PlayStation 5,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#HomeConsole
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#PS5,PlayStation 5,http://www.semanticweb.org/videogame-domain/ontology#HomeGamingConsole
http://www.semanticweb.org/videogame-domain/ontology#PlayStation5,PlayStation 5,http://www.semanticweb.org/videogame-domain/ontology#HomeGamingConsole
http://www.semanticweb.org/videogame-domain/ontology#PlayStation5,PlayStation 5,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#HomeConsole
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Sony,Sony Interactive Entertainment,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Manufacturer
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Sony,Sony Interactive Entertainment,http://www.semanticweb.org/videogame-domain/ontology#GamePublisher
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#SonyInteractive,Sony Interactive Entertainment,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Publisher
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#SonyInteractive,Sony Interactive Entertainment,http://www.semanticweb.org/videogame-domain/ontology#GamePublisher
http://www.semanticweb.org/videogame-domain/ontology#SonyInteractiveEntertainment,Sony Interactive Entertainment,http://www.semanticweb.org/videogame-domain/ontology#HardwareCompany
http://www.semanticweb.org/videogame-domain/ontology#SonyPublishing,Sony Interactive Entertainment,http://www.semanticweb.org/videogame-domain/ontology#GamePublisher
http://www.semanticweb.org/videogame-domain/ontology#SonyPublishing,Sony Interactive Entertainment,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Manufacturer
http://www.semanticweb.org/videogame-domain/ontology#SonyPublishing,Sony Interactive Entertainment,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#Publisher
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#XboxSeriesX,Xbox Series X,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#HomeConsole
http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#XboxSeriesX,Xbox Series X,http://www.semanticweb.org/videogame-domain/ontology#HomeGamingConsole
http://www.semanticweb.org/videogame-domain/ontology#XboxSeriesX,Xbox Series X,http://www.semanticweb.org/videogame-domain/ontology#HomeGamingConsole
http://www.semanticweb.org/videogame-domain/ontology#XboxSeriesX,Xbox Series X,http://www.city.ac.uk/inm713-in3067/2026/princewill_okube#HomeConsole
